addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,building
,7,28802,,Avenida de los Reyes Católicos,
,5,,,Avenida de los Reyes Católicos,
,4,,,Avenida de los Reyes Católicos,
,22,,,Avenida de los Reyes Católicos,
,20,,,Avenida de los Reyes Católicos,
,18,,,Avenida de los Reyes Católicos,
,24,28802,,Calle de la Era Honda,
,21,28802,,Avenida de los Reyes Católicos,
,19,28802,,Avenida de los Reyes Católicos,
,17,28802,,Avenida de los Reyes Católicos,
,13,,,Avenida de los Reyes Católicos,
,25,28803,,Avenida de los Reyes Católicos,
,13,28802,,Avenida de los Reyes Católicos,
,13,28802,,Avenida de los Reyes Católicos,
Alcalá de Henares,13,28806,,Avenida de la Alcarria,
,32,28801,,Vía Complutense,
,78,28801,,Calle Mayor,
,6,28801,,Calle Beatas,
,27,28803,,Avenida de los Reyes Católicos,
,5,28801,,Plaza del Padre Lecanda,
,1,,,Calle Cristóbal Colón,
,3,,,Calle Cristóbal Colón,
,5,,,Calle Cristóbal Colón,
,4,,,Calle Cristóbal Colón,
,1,,,Calle de Fernán González,
,3,,,Calle de Fernán González,
,5,,,Calle de Fernán González,
,7,,,Calle de Fernán González,
,9,,,Calle de Fernán González,
,29,28803,,Avenida de los Reyes Católicos,
,31,28803,,Avenida de los Reyes Católicos,
,33,28803,,Avenida de los Reyes Católicos,
,35,28803,,Avenida de los Reyes Católicos,
,37,28803,,Avenida de los Reyes Católicos,
,79,28801,,Calle Mayor,
Alcalá de Henares,1,28804,,Avenida de Castilla,
Alcalá de Henares,1,28804,,Avenida de Castilla,
Alcalá de Henares,5,28804,,Avenida de Castilla,
Alcalá de Henares,1,28804,,Travesía Lope de Figueroa,
Alcalá de Henares,3,28804,,Travesía Lope de Figueroa,
Alcalá de Henares,6,28804,,Avenida Lope de Figueroa,
Alcalá de Henares,8,28804,,Avenida Lope de Figueroa,
Alcalá de Henares,1,28804,,Calle Segovia,
Alcalá de Henares,3,28804,,Calle Segovia,
Alcalá de Henares,5,28804,,Calle Segovia,
Alcalá de Henares,7,28804,,Calle Segovia,
Alcalá de Henares,9,28804,,Calle Segovia,
Alcalá de Henares,11,28804,,Calle Segovia,
Alcalá de Henares,15,28804,,Calle Segovia,
Alcalá de Henares,7,28804,,Avenida de Castilla,
Alcalá de Henares,34,28804,,Calle Segovia,
Alcalá de Henares,32,28804,,Calle Segovia,
Alcalá de Henares,30,28804,,Calle Segovia,
Alcalá de Henares,28,28804,,Calle Segovia,
Alcalá de Henares,26,28804,,Calle Segovia,
Alcalá de Henares,24,28804,,Calle Segovia,
Alcalá de Henares,22,28804,,Calle Segovia,
Alcalá de Henares,20,28804,,Calle Segovia,
Alcalá de Henares,18,28804,,Calle Segovia,
Alcalá de Henares,9,28804,,Avenida de Castilla,
Alcalá de Henares,11,28804,,Avenida de Castilla,
Alcalá de Henares,13,28804,,Avenida de Castilla,
Alcalá de Henares,15,28804,,Avenida de Castilla,
Alcalá de Henares,17,28804,,Avenida de Castilla,
Alcalá de Henares,19,28804,,Avenida de Castilla,
Alcalá de Henares,21,28804,,Avenida de Castilla,
Alcalá de Henares,23,28804,,Avenida de Castilla,
Alcalá de Henares,25,28804,,Avenida de Castilla,
Alcalá de Henares,11,28804,,Avenida Virgen del Val,
Alcalá de Henares,10,28804,,Travesía Lope de Figueroa,
Alcalá de Henares,11,28804,,Avenida Virgen del Val,
Alcalá de Henares,2,28804,,Plaza Sepúlveda,
Alcalá de Henares,13,28804,,Avenida Virgen del Val,
Alcalá de Henares,4,28804,,Plaza Sepúlveda,
Alcalá de Henares,6,28804,,Plaza Sepúlveda,
Alcalá de Henares,8,28804,,Plaza Sepúlveda,
Alcalá de Henares,10,28804,,Plaza Sepúlveda,
Alcalá de Henares,12,28804,,Plaza Sepúlveda,
Alcalá de Henares,15,28804,,Avenida Virgen del Val,
Alcalá de Henares,17,28804,,Avenida Virgen del Val,
Alcalá de Henares,19,28804,,Avenida Virgen del Val,
,4,,,Calle de Alicante,
,4,28804,,Calle de Alicante,
Alcalá de Henares,,28804,,Avenida Lope de Figueroa,
,,28804,,Avenida Lope de Figueroa,
Alcalá de Henares,16,28804,,Avenida Lope de Figueroa,
,11,28804,,Calle de Sigüenza,
Alcalá de Henares,1,28804,,Plaza de Navarra,
Alcalá de Henares,16,28804,,Avenida Lope de Figueroa,
Alcalá de Henares,21,28804,,Calle Segovia,
Alcalá de Henares,23,28804,,Calle Segovia,
Alcalá de Henares,14,28804,,Plaza Sepúlveda,
Alcalá de Henares,16,28804,,Plaza Sepúlveda,
Alcalá de Henares,18,28804,,Plaza Sepúlveda,
Alcalá de Henares,20,28804,,Plaza Sepúlveda,
Alcalá de Henares,22,28804,,Plaza Sepúlveda,
Alcalá de Henares,24,28804,,Plaza Sepúlveda,
Alcalá de Henares,26,28804,,Plaza Sepúlveda,
Alcalá de Henares,21,28804,,Avenida Virgen del Val,
Alcalá de Henares,23,28804,,Avenida Virgen del Val,
Alcalá de Henares,25,28804,,Avenida Virgen del Val,
Alcalá de Henares,27,28804,,Avenida Virgen del Val,
Alcalá de Henares,29,28804,,Avenida Virgen del Val,
Alcalá de Henares,31,28804,,Avenida Virgen del Val,
Alcalá de Henares,1,28804,,Calle Salamanca,
Alcalá de Henares,,28804,,Calle Salamanca,
Alcalá de Henares,29,28804,,Avenida Lope de Figueroa,
Alcalá de Henares,33,28804,,Avenida Lope de Figueroa,
Alcalá de Henares,35,28804,,Avenida Lope de Figueroa,
Alcalá de Henares,32,28804,,Avenida Don Juan de Austria,
Alcalá de Henares,30,28804,,Avenida Don Juan de Austria,
Alcalá de Henares,28,28804,,Avenida Don Juan de Austria,
Alcalá de Henares,39,28804,,Avenida Lope de Figueroa,
Alcalá de Henares,41,28804,,Avenida Lope de Figueroa,
Alcalá de Henares,43,28804,,Avenida Lope de Figueroa,
Alcalá de Henares,45,28804,,Avenida Lope de Figueroa,
Alcalá de Henares,47,28804,,Avenida Lope de Figueroa,
Alcalá de Henares,49,28804,,Avenida Lope de Figueroa,
Alcalá de Henares,14,28804,,Calle Santander,
Alcalá de Henares,14,28804,,Calle Santander,
Alcalá de Henares,16,28804,,Calle Santander,
Alcalá de Henares,18,28804,,Calle Santander,
Alcalá de Henares,10,28804,,Calle Zaragoza,
Alcalá de Henares,12,28804,,Calle Zaragoza,
Alcalá de Henares,,28804,,Calle Toledo,
Alcalá de Henares,2,28804,,Calle Zaragoza,
Alcalá de Henares,4,28804,,Calle Zaragoza,
Alcalá de Henares,6,28804,,Calle Zaragoza,
Alcalá de Henares,6,28804,,Calle Zaragoza,
Alcalá de Henares,4,28804,,Calle Zaragoza,
Alcalá de Henares,,28804,,Calle Zaragoza,
Alcalá de Henares,2,28804,,Avenida de Valladolid,
Alcalá de Henares,51,28804,,Avenida Virgen del Val,
Alcalá de Henares,1,28804,,Plaza de Tordesillas,
Alcalá de Henares,2,28804,,Plaza de Tordesillas,
,53,28804,,Avenida Virgen del Val,
,51,28804,,Avenida Virgen del Val,
Alcalá de Henares,5,28804,,Calle Cuenca,
Alcalá de Henares,1,28804,,Calle Cuenca,
,1,28804,,Calle Cuenca,
Alcalá de Henares,2,28804,,Avenida de Castilla,
Alcalá de Henares,6,28804,,Avenida de Castilla,
Alcalá de Henares,4,28804,,Avenida de Castilla,
Alcalá de Henares,2,28804,,Avenida de Castilla,
Alcalá de Henares,4,28804,,Avenida de Castilla,
Alcalá de Henares,16,28804,,Calle Salamanca,
,16,28804,,Calle Salamanca,
,,28804,,Plaza Antonio Rodríguez de Hita,
,33,28804,,Avenida Lope de Figueroa,
Alcalá de Henares,34,28804,,Calle Segovia,
Alcalá de Henares,,28804,,Avenida de Castilla,
,14,28804,,Calle Salamanca,
Alcalá de Henares,10,28804,,Avenida Lope de Figueroa,
Alcalá de Henares,10,28804,,Avenida Lope de Figueroa,
,31,28804,,Avenida Lope de Figueroa,
,16,28804,,Calle Salamanca,
,33,28804,,Avenida Lope de Figueroa,
,,28804,,Avenida Lope de Figueroa,
Alcalá de Henares,,28804,,Avenida Lope de Figueroa,
,,28804,,Avenida Lope de Figueroa,
,35,28804,,Avenida Lope de Figueroa,
,35,28804,,Avenida Lope de Figueroa,
,35,28804,,Avenida Lope de Figueroa,
